0	3640
1	3638
2	3639
3	3630
4	3631
5	3632
6	3633
7	3634
8	3635
9	3636
10	3637
11	3650
12	3651
13	0
14	3649
15	1
16	2
17	3
18	4
19	5
20	6
21	7
22	8
23	3641
24	9
25	3642
26	3643
27	3644
28	3645
29	3646
30	3647
31	3648
32	3660
33	3661
34	3662
35	1000
36	3652
37	3653
38	3654
39	3655
40	3656
41	3657
42	3658
43	3659
44	3670
45	3671
46	3672
47	3673
48	1011
49	1010
50	1008
51	1007
52	1006
53	1005
54	1004
55	1003
56	1002
57	1001
58	3663
59	3664
60	3665
61	3666
62	3667
63	3668
64	3669
65	1009
66	3680
67	3681
68	3682
69	3683
70	3684
71	1022
72	1021
73	1020
74	1019
75	1018
76	1017
77	1016
78	1015
79	1014
80	1013
81	1012
82	3674
83	3675
84	3676
85	3677
86	3678
87	3679
88	3690
89	3691
90	3692
91	3693
92	3694
93	3695
94	1033
95	1032
96	1031
97	1030
98	1029
99	1028
100	1027
101	1026
102	1025
103	1024
104	1023
105	3685
106	3686
107	3687
108	3688
109	3689
110	1044
111	1043
112	1042
113	1041
114	1040
115	1039
116	1038
117	1037
118	1036
119	1035
120	1034
121	3696
122	3697
123	3698
124	3699
125	1055
126	1054
127	1053
128	1052
129	1051
130	1050
131	1049
132	1048
133	1047
134	1046
135	1045
136	24418
137	24417
138	24419
139	1066
140	24410
141	1065
142	1064
143	24412
144	1063
145	24411
146	1062
147	24414
148	1061
149	24413
150	1060
151	24416
152	24415
153	12438
154	12439
155	1059
156	1058
157	1057
158	1056
159	12432
160	12433
161	12430
162	12431
163	12436
164	12437
165	12434
166	12435
167	24429
168	24428
169	12440
170	1077
171	24421
172	1076
173	24420
174	1075
175	24423
176	1074
177	24422
178	1073
179	24425
180	1072
181	24424
182	1071
183	24427
184	1070
185	24426
186	12449
187	1069
188	1068
189	1067
190	12443
191	12444
192	12441
193	12442
194	12447
195	12448
196	12445
197	12446
198	1080
199	1088
200	1087
201	1086
202	1085
203	1084
204	1083
205	1082
206	1081
207	12418
208	12419
209	12416
210	12417
211	1079
212	1078
213	12410
214	12411
215	12414
216	12415
217	12412
218	12413
219	1091
220	24407
221	1090
222	24406
223	24409
224	24408
225	1099
226	1098
227	1097
228	24401
229	1096
230	24400
