(4108	29	17154)	(4108	32	7106)	(7106	29	17154)
(3124	29	14292)	(3124	32	6066)	(6066	29	14292)
(11318	29	8424)	(11318	32	10761)	(10761	29	8424)
(9271	29	13024)	(9271	32	13032)	(13032	29	13024)
(4151	29	5554)	(4151	32	5555)	(5555	29	5554)
(11337	29	8424)	(11337	32	12852)	(12852	29	8424)
(4171	29	7747)	(4171	32	7750)	(7750	29	7747)
(11361	29	12587)	(11361	32	1792)	(1792	29	12587)
(9324	29	1874)	(9324	32	15294)	(15294	29	1874)
(6268	29	15217)	(6268	32	11618)	(11618	29	15217)
(4223	29	5828)	(4223	32	4052)	(4052	29	5828)
(11407	29	15186)	(11407	32	6208)	(6208	29	15186)
(9363	29	12920)	(9363	32	11969)	(11969	29	12920)
(1172	29	14292)	(1172	32	6055)	(6055	29	14292)
(7327	29	12993)	(7327	32	7308)	(7308	29	12993)
(7329	29	12993)	(7329	32	13004)	(13004	29	12993)
(7332	29	12988)	(7332	32	7238)	(7238	29	12988)
(1245	29	13171)	(1245	32	10943)	(10943	29	13171)
(5346	29	17171)	(5346	32	17186)	(17186	29	17171)
(5356	29	1867)	(5356	32	5311)	(5311	29	1867)
(9460	29	14825)	(9460	32	6803)	(6803	29	14825)
(5368	29	16443)	(5368	32	9380)	(9380	29	16443)
(5368	29	16479)	(5368	32	9380)	(9380	29	16479)
(4350	29	7713)	(4350	32	5798)	(5798	29	7713)
(5382	29	6080)	(5382	32	10098)	(10098	29	6080)
(16654	29	6149)	(16654	32	16588)	(16588	29	6149)
(5393	29	9019)	(5393	32	9137)	(9137	29	9019)
(4371	29	7670)	(4371	32	17134)	(17134	29	7670)
(1302	29	13019)	(1302	32	1265)	(1265	29	13019)
(7453	29	14212)	(7453	32	3056)	(3056	29	14212)
(286	29	11568)	(286	32	7572)	(7572	29	11568)
(1320	29	14274)	(1320	32	2904)	(2904	29	14274)
(12589	29	15955)	(12589	32	5548)	(5548	29	15955)
(7473	29	17278)	(7473	32	8018)	(8018	29	17278)
(4401	29	7681)	(4401	32	16463)	(16463	29	7681)
(1332	29	11568)	(1332	32	7137)	(7137	29	11568)
(5434	29	380)	(5434	32	17381)	(17381	29	380)
(1339	29	11568)	(1339	32	4703)	(4703	29	11568)
(7491	29	14838)	(7491	32	4387)	(4387	29	14838)
(8515	29	14291)	(8515	32	14288)	(14288	29	14291)
(2371	29	12480)	(2371	32	12481)	(12481	29	12480)
(10571	29	11568)	(10571	32	11579)	(11579	29	11568)
(4433	29	7702)	(4433	32	4406)	(4406	29	7702)
(339	29	17154)	(339	32	6595)	(6595	29	17154)
(342	29	17154)	(342	32	6528)	(6528	29	17154)
(5463	29	8385)	(5463	32	8383)	(8383	29	8385)
(13660	29	9588)	(13660	32	575)	(575	29	9588)
(2401	29	5142)	(2401	32	4368)	(4368	29	5142)
(7529	29	17200)	(7529	32	17222)	(17222	29	17200)
(8556	29	16001)	(8556	32	14324)	(14324	29	16001)
(374	29	17154)	(374	32	6533)	(6533	29	17154)
(3476	29	12587)	(3476	32	5513)	(5513	29	12587)
(7573	29	17123)	(7573	32	7054)	(7054	29	17123)
(10665	29	14116)	(10665	32	11318)	(11318	29	14116)
(2477	29	17154)	(2477	32	17184)	(17184	29	17154)
(5595	29	10352)	(5595	32	6666)	(6666	29	10352)
(2531	29	10448)	(2531	32	2764)	(2764	29	10448)
(2538	29	12208)	(2538	32	12208)	(12208	29	12208)
(495	29	7921)	(495	32	6560)	(6560	29	7921)
(10739	29	15221)	(10739	32	15219)	(15219	29	15221)
(507	29	14513)	(507	32	6561)	(6561	29	14513)
(8703	29	1867)	(8703	32	1892)	(1892	29	1867)
(6672	29	10352)	(6672	32	12462)	(12462	29	10352)
(9775	29	14765)	(9775	32	10626)	(10626	29	14765)
(8754	29	14292)	(8754	32	1860)	(1860	29	14292)
(4659	29	12362)	(4659	32	8290)	(8290	29	12362)
(2616	29	13261)	(2616	32	12214)	(12214	29	13261)
(4672	29	8307)	(4672	32	8306)	(8306	29	8307)
(8774	29	14825)	(8774	32	2339)	(2339	29	14825)
(5702	29	17200)	(5702	32	9310)	(9310	29	17200)
(4687	29	16443)	(4687	32	8418)	(8418	29	16443)
(4691	29	8441)	(4691	32	4706)	(4706	29	8441)
(9815	29	15242)	(9815	32	9813)	(9813	29	15242)
(611	29	15320)	(611	32	6625)	(6625	29	15320)
(6771	29	15221)	(6771	32	15221)	(15221	29	15221)
(9846	29	15242)	(9846	32	15239)	(15239	29	15242)
(9848	29	13543)	(9848	32	13556)	(13556	29	13543)
(4748	29	7702)	(4748	32	7310)	(7310	29	7702)
(8851	29	13987)	(8851	32	15340)	(15340	29	13987)
(8852	29	13987)	(8852	32	14001)	(14001	29	13987)
(3742	29	12965)	(3742	32	7181)	(7181	29	12965)
(3744	29	5579)	(3744	32	5580)	(5580	29	5579)
(1714	29	17193)	(1714	32	7761)	(7761	29	17193)
(1717	29	17193)	(1717	32	7786)	(7786	29	17193)
(697	29	6580)	(697	32	2881)	(2881	29	6580)
(6846	29	1485)	(6846	32	12871)	(12871	29	1485)
(7885	29	17193)	(7885	32	13362)	(13362	29	17193)
(3791	29	17200)	(3791	32	10259)	(10259	29	17200)
(3833	29	17154)	(3833	32	7103)	(7103	29	17154)
(13050	29	380)	(13050	32	9672)	(9672	29	380)
(5886	29	14765)	(5886	32	10899)	(10899	29	14765)
(3868	29	17154)	(3868	32	10429)	(10429	29	17154)
(3870	29	14292)	(3870	32	7101)	(7101	29	14292)
(4897	29	8936)	(4897	32	8934)	(8934	29	8936)
(3876	29	17154)	(3876	32	7080)	(7080	29	17154)
(5932	29	13987)	(5932	32	8855)	(8855	29	13987)
(3886	29	17154)	(3886	32	7112)	(7112	29	17154)
(3889	29	17154)	(3889	32	7082)	(7082	29	17154)
(3891	29	17154)	(3891	32	7095)	(7095	29	17154)
(6969	29	15955)	(6969	32	15951)	(15951	29	15955)
(2882	29	17154)	(2882	32	7081)	(7081	29	17154)
(5956	29	10944)	(5956	32	5990)	(5990	29	10944)
(2892	29	6580)	(2892	32	2888)	(2888	29	6580)
(2897	29	14274)	(2897	32	6033)	(6033	29	14274)
(13143	29	14513)	(13143	32	9401)	(9401	29	14513)
(10079	29	14085)	(10079	32	2884)	(2884	29	14085)
(4994	29	8904)	(4994	32	5688)	(5688	29	8904)
(13199	29	14513)	(13199	32	9398)	(9398	29	14513)
(2959	29	17154)	(2959	32	381)	(381	29	17154)
(11154	29	8424)	(11154	32	9537)	(9537	29	8424)
(9139	29	1874)	(9139	32	14532)	(14532	29	1874)
(5084	29	13360)	(5084	32	9613)	(9613	29	13360)
(988	29	11447)	(988	32	11449)	(11449	29	11447)
(988	29	14283)	(988	32	11449)	(11449	29	14283)
(5087	29	13360)	(5087	32	9615)	(9615	29	13360)
(8160	29	14054)	(8160	32	14051)	(14051	29	14054)
(3056	29	6195)	(3056	32	6229)	(6229	29	6195)
(3063	29	15276)	(3063	32	10160)	(10160	29	15276)
(3067	29	1581)	(3067	32	6197)	(6197	29	1581)
(8204	29	744)	(14708	32	8204)	(14708	29	744)
(3105	29	14292)	(6059	32	3105)	(6059	29	14292)
(11318	29	8424)	(10665	32	11318)	(10665	29	8424)
